,uid
1650,31825.0
1651,31054.0
1652,31357.0
1653,31373.0
1654,31456.0
1655,32048.0
1656,31584.0
1657,31628.0
1658,28983.0
1659,29019.0
1660,29041.0
1661,28087.0
1662,28104.0
1663,28123.0
1664,31785.0
1665,31798.0
1666,19642.0
1667,18579.0
1668,18633.0
1669,30956.0
1670,30958.0
1671,4705.0
1672,23504.0
1673,23556.0
1674,36134.0
1675,32144.0
1676,36251.0
1677,36268.0
1678,36131.0
1679,4172.0
1680,4214.0
1681,4221.0
1682,32995.0
1683,33010.0
1684,33006.0
1685,33023.0
1686,32975.0
1687,33324.0
1688,33352.0
1689,33274.0
1690,33302.0
1691,32890.0
1692,32900.0
1693,32528.0
1694,32543.0
1695,32506.0
1696,32510.0
1697,32795.0
1698,32806.0
1699,33320.0
1700,32944.0
1701,32961.0
1702,33375.0
1703,33429.0
1704,33281.0
1705,33349.0
1706,33208.0
1707,33250.0
1708,32693.0
1709,32706.0
1710,33258.0
1711,33266.0
1712,35772.0
1713,35662.0
1714,35670.0
1715,31986.0
1716,31996.0
1717,32002.0
1718,32015.0
1719,32182.0
1720,32190.0
1721,32426.0
1722,32435.0
1723,32785.0
1724,32801.0
1725,33184.0
1726,33192.0
1727,33117.0
1728,33181.0
1729,33119.0
1730,33136.0
1731,17975.0
1732,22059.0
1733,21945.0
1734,1080.0
1735,1081.0
1736,1079.0
1737,1055.0
1738,1054.0
1739,13534.0
1740,19959.0
1741,20028.0
1742,14405.0
1743,14444.0
1744,13989.0
1745,13352.0
1746,13416.0
1747,13438.0
1748,13466.0
1749,13302.0
1750,13313.0
1751,13221.0
1752,13284.0
1753,13123.0
1754,13207.0
1755,13121.0
1756,13130.0
1757,13266.0
1758,13303.0
1759,13437.0
1760,13461.0
1761,5083.0
1762,5139.0
1763,845.0
1764,852.0
1765,7257.0
1766,7383.0
1767,7170.0
1768,7192.0
1769,7205.0
1770,11115.0
1771,11127.0
1772,9475.0
1773,9514.0
1774,8298.0
1775,8343.0
1776,8461.0
1777,8539.0
1778,8489.0
1779,8540.0
1780,8295.0
1781,8367.0
1782,10660.0
1783,10571.0
1784,10529.0
1785,22298.0
1786,29203.0
1787,24516.0
1788,24622.0
1789,24263.0
1790,12309.0
1791,12370.0
1792,12158.0
1793,12207.0
1794,11903.0
1795,11952.0
1796,11778.0
1797,11830.0
1798,11793.0
1799,11843.0
1800,11908.0
1801,11955.0
1802,11506.0
1803,11560.0
1804,11520.0
1805,11561.0
1806,11350.0
1807,11397.0
1808,11354.0
1809,11415.0
1810,11007.0
1811,10962.0
1812,10995.0
1813,10938.0
1814,11105.0
1815,11136.0
1816,11107.0
1817,11140.0
1818,10752.0
1819,10683.0
1820,10712.0
1821,10756.0
1822,10538.0
1823,10596.0
1824,10592.0
1825,10560.0
1826,10180.0
1827,10210.0
1828,10320.0
1829,10357.0
1830,10298.0
1831,10360.0
1832,10169.0
1833,10214.0
1834,9983.0
1835,10039.0
1836,9643.0
1837,9691.0
1838,9489.0
1839,9535.0
1840,9491.0
1841,9542.0
1842,9657.0
1843,9693.0
1844,9122.0
1845,9188.0
1846,9342.0
1847,9288.0
1848,9303.0
1849,9347.0
1850,8908.0
1851,8946.0
1852,8912.0
1853,8949.0
1854,8782.0
1855,8812.0
1856,8792.0
1857,8826.0
1858,8355.0
1859,8398.0
1860,8513.0
1861,8562.0
1862,8337.0
1863,8389.0
1864,8523.0
1865,8555.0
1866,8124.0
1867,8156.0
1868,8122.0
1869,8160.0
1870,7982.0
1871,8035.0
1872,7984.0
1873,8033.0
1874,7709.0
1875,7756.0
